scope,full_name,html_url,description,stars,language,topics
global,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,398595,,"awesome, awesome-list, lists, resources, unicorns"
global,jnv/lists,https://github.com/jnv/lists,The definitive list of lists (of lists) curated on GitHub and elsewhere,10581,,"awesome, awesome-list, curated-lists, lists, resources"
global,qinwf/awesome-R,https://github.com/qinwf/awesome-R,"A curated list of awesome R packages, frameworks and software.",6286,R,"awesome, awesome-list, data-analysis, data-science, list, r, rstats"
global,briatte/awesome-network-analysis,https://github.com/briatte/awesome-network-analysis,A curated list of awesome network analysis resources.,3820,R,"awesome, awesome-list, complex-networks, disease-networks, graph-theory, historical-networks, list, network-analysis, network-science, network-visualization, political-networks, semantic-networks, sna, social-network-analysis, social-networks"
global,antiboredom/videogrep,https://github.com/antiboredom/videogrep,automatic video supercuts with python,3420,Python,
global,kba/awesome-ocr,https://github.com/kba/awesome-ocr,Links to awesome OCR projects,3036,,
global,PKU-TANGENT/nlp-tutorial,https://github.com/PKU-TANGENT/nlp-tutorial,NLP新手入门教程,1345,Python,
global,janosh/awesome-sveltekit,https://github.com/janosh/awesome-sveltekit,Awesome examples of SvelteKit in the wild,1219,Svelte,"awesome-list, community, svelte, svelte-kit"
global,awslabs/sockeye,https://github.com/awslabs/sockeye,Sequence-to-sequence framework with a focus on Neural Machine Translation based on PyTorch,1216,Python,"attention-is-all-you-need, attention-mechanism, attention-model, deep-learning, deep-neural-networks, encoder-decoder, machine-learning, machine-translation, neural-machine-translation, pytorch, seq2seq, sequence-to-sequence, sequence-to-sequence-models, sockeye, transformer, transformer-architecture, transformer-network, translation"
global,Calamari-OCR/calamari,https://github.com/Calamari-OCR/calamari,Line based ATR Engine based on OCRopy,1160,Python,
global,urschrei/pyzotero,https://github.com/urschrei/pyzotero,Pyzotero: a Python client for the Zotero API,1087,Python,"citations, digital-humanities, zotero"
global,nathanlesage/academics-on-mastodon,https://github.com/nathanlesage/academics-on-mastodon,A list of various lists consisting of academics on Mastodon,954,,"academia, awesome-list, mastodon, scholar"
global,booknlp/booknlp,https://github.com/booknlp/booknlp,"BookNLP, a natural language processing pipeline for books",866,Python,"computational-social-science, cultural-analytics, digital-humanities, natural-language-processing"
global,programminghistorian/jekyll,https://github.com/programminghistorian/jekyll,Jekyll-based static site for The Programming Historian ,533,HTML,"api, data-management, data-manipulation, data-mining, dh, digital-humanities, exhibits, linked-open-data, mapping, multi-lingual, network-analysis, open-educational-resources, open-source, pedagogy, programming-historian, python, r-studio, scraping, text-analysis, web-scraping"
global,michaelzhang-ai/Text2Video,https://github.com/michaelzhang-ai/Text2Video,"ICASSP 2022: ""Text2Video: text-driven talking-head video synthesis with phonetic dictionary"".  ",438,Python,"aigc, avatar, deep-learning, digital-humanities, gan, generative-ai, icassp, metaverse, speech-synthesis, talking, talking-face-generation, talking-head, talking-heads, text-to-video, tts, vid2vid, video, virtual-humans"
global,dbamman/book-nlp,https://github.com/dbamman/book-nlp,"Natural language processing pipeline for book-length documents (archival Java version; for current Python version, see: https://github.com/booknlp/booknlp)",316,Java,"digital-humanities, natural-language-processing"
global,dh-tech/awesome-digital-humanities,https://github.com/dh-tech/awesome-digital-humanities,Software for humanities scholars using quantitative or computational methods.,308,HTML,"awesome, awesome-list, dh-resources, dh-tools, digital-humanities"
global,maria-antoniak/goodreads-scraper,https://github.com/maria-antoniak/goodreads-scraper,A Python scraper for Goodreads books and reviews.,296,Jupyter Notebook,
global,ryanjgallagher/shifterator,https://github.com/ryanjgallagher/shifterator,Interpretable data visualizations for understanding how texts differ at the word level,280,Python,"computational-social-science, data-visualization, digital-humanities, information-theory, natural-language-processing, sentiment-analysis, text-analysis, text-as-data"
global,maehr/awesome-digital-history,https://github.com/maehr/awesome-digital-history,Find primary sources online and learn how to research history digitally.,271,JavaScript,"archives, awesome, awesome-list, collections, dh, digital-history, digital-humanities, historian, historical-sciences, history, humanities, libraries, maps, newspapers"
global,melaniewalsh/Intro-Cultural-Analytics,https://github.com/melaniewalsh/Intro-Cultural-Analytics,"Introduction to Cultural Analytics & Python, course website and online textbook powered by Jupyter Book",271,Jupyter Notebook,"course-materials, cultural-analytics, digital-humanities, jupyter-book, jupyter-notebooks, python, textbook"
global,minicomp/wax,https://github.com/minicomp/wax,Jekyll based framework for minimal exhibitions with IIIF 🐝,171,SCSS,"digital-humanities, elasticlunr, iiif, jekyll, openseadragon, static-site"
global,drostlab/philentropy,https://github.com/drostlab/philentropy,Information Theory and Distance Quantification with R,142,R,"distance-measures, distance-quantification, information-theory, jensen-shannon-divergence, parametric-distributions, r, similarity-measures, statistics"
global,AI4LAM/awesome-ai4lam,https://github.com/AI4LAM/awesome-ai4lam,"A list of awesome AI in libraries, archives, and museum collections from around the world 🕶️",133,SCSS,"ai, ai-in-libraries, artificial-intelligence, awesome, awesome-list, awesome-lists, awesome-resources, libraries, library-automation, library-systems, machine-learning, machine-learning-projects, machinelearning, ml-in-libraries, natural-language-processing"
global,quinnanya/dh-jupyter,https://github.com/quinnanya/dh-jupyter,A collection of Jupyter notebooks in many human and computer languages for doing digital humanities. PRs welcome!,132,,
global,DmitryRyumin/EMNLP-2023-Papers,https://github.com/DmitryRyumin/EMNLP-2023-Papers,"EMNLP 2023 Papers: Explore cutting-edge research from EMNLP 2023, the premier conference for advancing empirical methods in natural language processing. Stay updated on the latest in machine learning, deep learning, and natural language processing with code included. :star: support NLP!",109,Python,"bert, computational-linguistics, emnlp, emnlp2023, gpt, language-models, llms, machine-learning, machine-translation, multilingual-nlp, named-entity-recognition, natural-language-processing, ner, nlp, nlp-applications, sentiment-analysis, syntax-and-semantics, text-mining, transformers, word-embeddings"
global,distant-viewing/dvt,https://github.com/distant-viewing/dvt,Distant Viewing Toolkit for the Analysis of Visual Culture,100,Jupyter Notebook,"computer-vision, cultural-analytics, digital-humanities"
global,culturevis/imageplot,https://github.com/culturevis/imageplot,ImagePlot is a free software tool that visualizes collections of images and video of any size. It is implemented as a macro which works with the open source image processing program ImageJ.,68,Java,
global,SLCLADAL/SLCLADAL.github.io,https://github.com/SLCLADAL/SLCLADAL.github.io,"This is the website for the Language Technology and Data Analysis Laboratory (LADAL) which is part of the School of Languages and Cultures at the University of Brisbane, Australia.",14,HTML,
Bode,arendst/Tasmota,https://github.com/arendst/Tasmota,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",23637,C,"arduino, automation, esp32, esp8266, firmware, iot, knx, mqtt, ota, smart-home, sonoff, tasmota, tuya"
Bode,amirhossein-kz/Awesome-Diffusion-Models-in-Medical-Imaging,https://github.com/amirhossein-kz/Awesome-Diffusion-Models-in-Medical-Imaging,Diffusion Models in Medical Imaging (Published in Medical Image Analysis Journal),1914,,"ddpm, deep-learning, denoising, diffusion, diffusion-models, generation, generative-models, machine-learning, medical-imaging, ncsn, reconstruction, score-based, score-matching, sde, segmentation, vae"
